"","Purification and characterization of mouse DNA polymerase alpha devoid of primase activity."," ","","","","1990-10-29T00:00:00Z","","fla"
"","Initiation of DNA synthesis on the isolated strands of bacteriophage f1 replicative-form DNA."," ","","","","1979-03-25T00:00:00Z","","fla"
"","Illegitimate recombination in plants: a model for T-DNA integration."," ","","","","","","fla"
"","Fate of parental simian virus 40 DNA in permissive monkey kidney cells."," ","","","","1975-04-01T00:00:00Z","","fla"
"","Herpes simplex virus necleic acid synthesis following infection of non-permissive XC cells."," ","","","","1978-09-10T00:00:00Z","","fla"
"","Differential inhibition by an antitumoral drug 10-[gamma-diethylaminopropylamino]-6-methyl-5H-pyrido"," ","","","","1990-05-15T00:00:00Z","","fla"
"","DNA receptor dysfunction in systemic lupus erythematosus and kindred disorders. Induction by anti-DN"," ","","","","1987-10-01T00:00:00Z","","fla"
"","Requirement for two DNA polymerases in the replication of simian virus 40 DNA in vitro."," ","","","","1989-12-22T00:00:00Z","","fla"
"","Arrest of replication forks by drug-stabilized topoisomerase I-DNA cleavable complexes as a mechanis"," ","","","","1989-09-15T00:00:00Z","","fla"
"","Homology of single copy and repeated sequences in chicken, duck, Japanese quail, and ostrich DNA."," ","","","","1978-11-28T00:00:00Z","","fla"
"","HIV-1 DNA integration: mechanism of viral DNA cleavage and DNA strand transfer."," ","","","","1991-12-20T00:00:00Z","","fla"
"","The effect of bleomycin on mitochondrial DNA."," ","","","","1976-12-20T00:00:00Z","","fla"
"","[Studies on the physical state of human papillomavirus 16 DNA in biopsies of patients with cervical "," ","","","","1989-06-03T00:00:00Z","","fla"
"","3'-Hydroxymethyl 2'-deoxynucleoside 5'-triphosphates are inhibitors highly specific for reverse tran"," ","","","","1986-10-27T00:00:00Z","","fla"
"","In vitro preferential topoisomerization of bent DNA."," ","","","","1989-11-11T00:00:00Z","","fla"
"","Effects of some polyamines, polyanions and antitumor drugs on replicative DNA synthesis and unschedu"," ","","","","1979-06-15T00:00:00Z","","fla"
"","Effects of DNA looping on pyrimidine dimer formation."," ","","","","1992-03-25T00:00:00Z","","fla"
"","Selective inhibition of phiX RFII compared with fd RFII DNA synthesis in vitro. II. Resolution of di"," ","","","","1977-04-25T00:00:00Z","","fla"
"","Effect of bleomycin on deoxyribonucleic acid synthesis in toluene-treated Escherichia coli cells."," ","","","","","","fla"
"","Specific interaction between mouse liver non-histone chromosomal proteins and mouse DNA demonstrated"," ","","","","1978-11-21T00:00:00Z","","fla"
"","Evidence for the formation of hybrid DNA during mitotic recombination in Chinese hamster cells."," ","","","","1976-08-30T00:00:00Z","","fla"
"","Antibodies to DNAs chemically modified with osmium structural probes."," ","","","","1989-10-20T00:00:00Z","","fla"
"","DNA primase-DNA polymerase alpha assembly from mouse FM3A cells. Purification of constituting enzyme"," ","","","","1989-06-15T00:00:00Z","","fla"
"","Development of genomic probes to Sarcocystis cruzi (Apicomplexa)."," ","","","","1991-10-20T00:00:00Z","","fla"
"","Human papillomavirus DNA in unselected pregnant and non-pregnant women."," ","","","","1990-07-25T00:00:00Z","","fla"
"","N-alkyl-N-nitrosourea induced secondary structural changes in DNA from rat embryos and fetal brains "," ","","","","1992-10-22T00:00:00Z","","fla"
"","The nuclear serine/threonine protein kinase DNA-PK."," ","","","","1992-10-01T00:00:00Z","","fla"
"","Involvement of deoxyribonucleic acid polymerase beta in nuclear deoxyribonucleic acid synthesis."," ","","","","1978-07-01T00:00:00Z","","fla"
"","In vivo synthesis and properties of uracil-containing DNA."," ","","","","1978-03-02T00:00:00Z","","fla"
"","Quantitative and qualitative differences in DNA complementary to avian myeloblastosis virus between "," ","","","","1975-09-15T00:00:00Z","","fla"
"","Recombination in hamster cell nuclear extracts between adenovirus type 12 DNA and two hamster preins"," ","","","","1989-03-09T00:00:00Z","","fla"
"","[Analogs of nucleotides, modified by a sugar residue and pyrimidine base, in a DNA synthesis reactio"," ","","","","1992-06-04T00:00:00Z","","fla"
"","Interaction of an ultimate carcinogen, benzo[a]pyrene diol epoxide, with nucleosomal core particles:"," ","","","","1989-06-15T00:00:00Z","","fla"
"","An improved method for the detection of DNA fragmentation."," ","","","","1991-01-24T00:00:00Z","","fla"
"","Juvenile hormone mediated DNA synthesis during larval development of Corcyra cephalonica (Insecta)."," ","","","","1990-10-19T00:00:00Z","","fla"
"","LDL-mediated interaction of DNA and DNA-anti-DNA immune complexes with cell surface."," ","","","","1991-03-22T00:00:00Z","","fla"
"","Characterization of the major DNA repair methyltransferase activity in unadapted Escherichia coli an"," ","","","","1989-09-01T00:00:00Z","","fla"
"","Structural analysis of proviral DNA in simian foamy virus (LK-3)-infected cells."," ","","","","1989-11-01T00:00:00Z","","fla"
"","DNA gyrase: purification and catalytic properties of a fragment of gyrase B protein."," ","","","","1979-12-06T00:00:00Z","","fla"
"","Effect of temporarily increased ionic strength and of urea on stability of DNA complexes with native"," ","","","","1979-03-12T00:00:00Z","","fla"
"","Topoisomerase II activity in the replicating DNA of irradiated hamster cells."," ","","","","1991-11-22T00:00:00Z","","fla"
"","The physical state of herpes simplex virus DNA in infected human cells."," ","","","","1979-10-02T00:00:00Z","","fla"
"","Evidence for a new mechanism of cytotoxicity of 1-beta-D arabinofuranosylcytosine."," ","","","","1979-04-20T00:00:00Z","","fla"
