"","Differential responses of the promoters from nearly identical paralogs of loblolly pine (Pinus taeda","Shenghua Yuan 	Jeffrey F. D. Dean ","","","","2010-01-03T00:00:00Z","","23391988"
"","Polyphenoloxidase Silencing Affects Latex Coagulation in Taraxacum Species","Daniela Wahler 	Christian Schulze Gronover 	Carolin Richter ","","","","2009-01-03T00:00:00Z","","40537772"
"","Nice Ideas","Maura C. Flannery ","","","","1990-01-03T00:00:00Z","","4449076"
"","Dated molecular phylogenies indicate a Miocene origin for Arabidopsis thaliana","Mark A. Beilstein 	Nathalie S. Nagalingum 	Mark D. Clements ","","","","2010-01-03T00:00:00Z","","25748556"
"","The kiwifruit lycopene beta-cyclase plays a significant role in carotenoid accumulation in fruit","Charles Ampomah-Dwamena 	Tony McGhie 	Reginald Wibisono ","","","","2009-01-03T00:00:00Z","","24038499"
"","Correct Processing of the Kiwifruit Protease Actinidin in Transgenic Tobacco Requires the Presence o","Wyatt Paul 	Jane Amiss 	Richard Try ","","","","1995-01-03T00:00:00Z","","4276532"
"","The Evolution of Unisexual Flowers: Morphological and Functional Convergence Results from Diverse De","Caroline H. Mitchell 	Pamela K. Diggle ","","","","2005-01-03T00:00:00Z","","4126149"
"","Efficient translation in chloroplasts requires element(s) upstream of the putative ribosome binding ","Joshua J. Baecker 	John C. Sneddon 	Margaret J. Hollingsworth ","","","","2009-01-03T00:00:00Z","","27793124"
"","Fragmentation of Proteins in the 13- to 29-kDa Mass Range Observed by","David M. Bunk 	Ronald D. Macfarlane ","","","","1992-01-03T00:00:00Z","","2359524"
"","Function Relaxation Followed by Diversifying Selection after Whole-Genome Duplication in Flowering P","Hui Guo 	Tae-Ho Lee 	Xiyin Wang ","","","","2013-01-03T00:00:00Z","","41943262"
"","Classification, Origin, and Patterns of Diversification of Corynocarpus (Corynocarpaceae) Inferred f","Steven J. Wagstaff 	Murray I. Dawson ","","","","2000-01-03T00:00:00Z","","2666679"
"","Determination of Relatedness and Geographical Movements of Pistacia vera (Pistachio; Anacardiaceae) ","J. I. Hormaza 	L. Dollo 	V. S. Polito ","","","","1994-01-03T00:00:00Z","","4255662"
"","Gene Duplication and Evolutionary Novelty in Plants","Lex E. Flagel 	Jonathan F. Wendel ","","","","2009-01-03T00:00:00Z","","40302056"
"","Molecular characterization of a gender-linked DNA marker and a related gene in Mercurialis annua L.","Deepak Kumar Khadka 	Ali Nejidat 	Moshe Tal ","","","","2005-01-03T00:00:00Z","","23389102"
"","Regeneration and Agrobacterium-mediated genetic transformation of Terminalia bellerica Roxb.: a mult","Bhawna Dangi 	Sumita Kachhwaha 	S. L Kothari ","","","","2012-01-03T00:00:00Z","","23255668"
"","The expression of a symbiosis-regulated gene in eucalypt roots is regulated by auxins and hypaphorin","Uwe Nehls 	Thierry Béguiristain 	Frank Ditengou ","","","","1998-01-03T00:00:00Z","","23385485"
"","Contributions of Domesticated Plant Studies to our Understanding of Plant Evolution","JAMES F. HANCOCK ","","","","2005-01-03T00:00:00Z","","42796011"
"","DNA barcode development for three recent exotic whitefly (Hemiptera: Aleyrodidae) invaders in Florid","Aaron M. Dickey 	Ian C. Stocks 	Trevor Smith ","","","","2015-01-03T00:00:00Z","","24587669"
